|6.6.6
pyrolite_1.tab
           2
P(bar)
   1.0000000000000000
   6410.2307692307695
          40
T(K)
   300.00000000000000
   56.410256410256409
          40
          30
P(bar)         T(K)           rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        	vol_Pl1 vol_Pl2 vol_O vol_Cpx1 vol_Cpx2 vol_ky vol_q vol_Opx vol_Gt1 vol_Gt2 vol_Sp vol_C2overc vol_Ring vol_Wad vol_st vol_Wus1 vol_Wus2 vol_Aki1 vol_Aki2 vol_capv vol_CF vol_Pv
  1.00000        1935.90        3099.57       0.515662E-004   1301.99        6.20890        2.98266      -0.114756E+008	0.0822373 0 0.600679 0.0993616 0 0 0 0.217723 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        1935.90        3173.90       0.480925E-004   1292.05        7.19877        4.15364      -0.112799E+008	0 0 0.573584 0.293591 0 0 0 0.132824 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        1935.90        3198.33       0.449965E-004   1282.64        7.30130        4.18380      -0.110967E+008	0 0 0.574085 0.304481 0 0 0 0.121434 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        1935.90        3221.50       0.424882E-004   1274.92        7.39131        4.21114      -0.109140E+008	0 0 0.574438 0.307385 0 0 0 0.118177 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        1935.90        3243.80       0.403389E-004   1268.31        7.47463        4.23669      -0.107320E+008	0 0 0.574106 0.306764 0 0 0 0.118562 0 0 0.000568435 0 0 0 0 0 0 0 0 0 0 0
  32052.2        1935.90        3282.74       0.378911E-004   1262.84        7.66510        4.29624      -0.105604E+008	0 0 0.578051 0.310387 0 0 0 0.0422602 0.0693018 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        1935.90        3313.09       0.362085E-004   1258.70        7.79860        4.34122      -0.103869E+008	0 0 0.579914 0.308864 0 0 0 0 0.111222 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        1935.90        3336.47       0.348334E-004   1254.60        7.88051        4.36929      -0.102112E+008	0 0 0.580586 0.291547 0 0 0 0 0.127866 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        1935.90        3357.66       0.336057E-004   1250.90        7.95332        4.39428      -0.100346E+008	0 0 0.580954 0.280874 0 0 0 0 0.138171 0 0 0 0 0 0 0 0 0 0 0 0 0
  57693.1        1935.90        3377.66       0.324870E-004   1247.51        8.02087        4.41733      -0.985788E+007	0 0 0.581192 0.27321 0 0 0 0 0.145598 0 0 0 0 0 0 0 0 0 0 0 0 0
  64103.3        1935.90        3396.74       0.314572E-004   1244.40        8.08440        4.43887      -0.968114E+007	0 0 0.581338 0.267684 0 0 0 0 0.150978 0 0 0 0 0 0 0 0 0 0 0 0 0
  70513.5        1935.90        3415.29       0.304991E-004   1241.51        8.14556        4.45945      -0.950473E+007	0 0 0.581447 0.262829 0 0 0 0 0.155724 0 0 0 0 0 0 0 0 0 0 0 0 0
  76923.8        1935.90        3433.58       0.296038E-004   1238.83        8.20523        4.47945      -0.932874E+007	0 0 0.581575 0.257618 0 0 0 0 0.160808 0 0 0 0 0 0 0 0 0 0 0 0 0
  83334.0        1935.90        3451.56       0.287641E-004   1236.33        8.26328        4.49887      -0.915305E+007	0 0 0.581691 0.252454 0 0 0 0 0.165855 0 0 0 0 0 0 0 0 0 0 0 0 0
  89744.2        1935.90        3469.44       0.279720E-004   1234.00        8.32057        4.51792      -0.897798E+007	0 0 0.581835 0.246398 0 0 0 0 0.171767 0 0 0 0 0 0 0 0 0 0 0 0 0
  96154.5        1935.90        3487.33       0.272216E-004   1231.81        8.37720        4.53661      -0.880334E+007	0 0 0.582026 0.239139 0 0 0 0 0.178835 0 0 0 0 0 0 0 0 0 0 0 0 0
  102565.        1935.90        3505.42       0.265099E-004   1229.75        8.43390        4.55545      -0.862929E+007	0 0 0.582291 0.229835 0 0 0 0 0.187874 0 0 0 0 0 0 0 0 0 0 0 0 0
  108975.        1935.90        3523.82       0.258300E-004   1227.81        8.49086        4.57437      -0.845582E+007	0 0 0.582624 0.218232 0 0 0 0 0.199143 0 0 0 0 0 0 0 0 0 0 0 0 0
  115385.        1935.90        3542.78       0.251799E-004   1225.98        8.54899        4.59391      -0.828321E+007	0 0 0.583082 0.203016 0 0 0 0 0.213902 0 0 0 0 0 0 0 0 0 0 0 0 0
  121795.        1935.90        3561.94       0.245609E-004   1224.25        8.60735        4.61388      -0.811124E+007	0 0 0.583606 0.185616 0 0 0 0 0.230777 0 0 0 0 0 0 0 0 0 0 0 0 0
  128206.        1935.90        3581.57       0.239716E-004   1222.63        8.66676        4.63492      -0.794019E+007	0 0 0.584217 0.164995 0 0 0 0 0.250789 0 0 0 0 0 0 0 0 0 0 0 0 0
  134616.        1935.90        3601.01       0.234155E-004   1221.10        8.72581        4.65664      -0.776986E+007	0 0 0.584843 0.143466 0 0 0 0 0.271691 0 0 0 0 0 0 0 0 0 0 0 0 0
  141026.        1935.90        3669.93       0.236040E-004   1224.87        8.99614        4.82201      -0.761951E+007	0 0 0.316252 0.126267 0 0 0 0 0.294029 0 0 0 0 0.263452 0 0 0 0 0 0 0 0
  147436.        1935.90        3746.45       0.239651E-004   1229.32        9.31184        5.01935      -0.747668E+007	0 0 0 0.108074 0 0 0 0 0.318165 0 0 0 0 0.573761 0 0 0 0 0 0 0 0
  153847.        1935.90        3764.54       0.235204E-004   1227.92        9.37017        5.04452      -0.731358E+007	0 0 0 0.0837272 0 0 0 0 0.341703 0 0 0 0 0.57457 0 0 0 0 0 0 0 0
  160257.        1935.90        3782.75       0.230991E-004   1226.59        9.42891        5.07119      -0.715119E+007	0 0 0 0.0576665 0 0 0 0 0.366926 0 0 0 0 0.575407 0 0 0 0 0 0 0 0
  166667.        1935.90        3801.14       0.227005E-004   1225.33        9.48745        5.09900      -0.698947E+007	0 0 0 0.0298663 0 0 0 0 0.393831 0 0 0 0 0.576302 0 0 0 0 0 0 0 0
  173077.        1935.90        3819.49       0.223254E-004   1224.13        9.54458        5.12703      -0.682859E+007	0 0 0 0.00169399 0 0 0 0 0.421098 0 0 0 0 0.577208 0 0 0 0 0 0 0 0
  179487.        1935.90        3831.76       0.219798E-004   1222.98        9.58213        5.14010      -0.666827E+007	0 0 0 0 0 0 0 0 0.422767 0 0 0 0 0.577233 0 0 0 0 0 0 0 0
  185898.        1935.90        3843.52       0.216465E-004   1221.86        9.61793        5.15191      -0.650830E+007	0 0 0 0 0 0 0 0 0.422789 0 0 0 0 0.577211 0 0 0 0 0 0 0 0
  192308.        1935.90        3873.73       0.206519E-004   1218.15        9.71784        5.21020      -0.636063E+007	0 0 0 0 0 0 0 0 0.43205 0 0 0 0.21226 0.352733 0 0.0029573 0 0 0 0 0 0
  198718.        1935.90        3914.87       0.192461E-004   1212.77        9.86031        5.30229      -0.622662E+007	0 0 0 0 0 0 0 0 0.429399 0 0 0 0.569958 0 0 0.000643787 0 0 0 0 0 0
  205128.        1935.90        3930.44       0.191071E-004   1212.80        9.90480        5.32180      -0.607112E+007	0 0 0 0 0 0 0 0 0.418323 0 0 0 0.572878 0 0 0 0 0 0 0.0087994 0 0
  211539.        1935.90        3945.91       0.189822E-004   1212.86        9.94788        5.34045      -0.591589E+007	0 0 0 0 0 0 0 0 0.408724 0 0 0 0.57357 0 0 0 0 0 0 0.0177056 0 0
  217949.        1935.90        3960.51       0.188404E-004   1212.78        9.98880        5.35766      -0.576117E+007	0 0 0 0 0 0 0 0 0.400753 0 0 0 0.574144 0 0 0 0 0 0 0.0251029 0 0
  224359.        1935.90        3974.33       0.186836E-004   1212.58        10.0278        5.37359      -0.560688E+007	0 0 0 0 0 0 0 0 0.394271 0 0 0 0.574602 0 0 0 0 0 0 0.0311274 0 0
  230769.        1935.90        3992.57       0.186221E-004   1212.97        10.0801        5.40113      -0.545593E+007	0 0 0 0 0 0 0 0 0.377292 0 0 0 0.57574 0 0 0 0 0 0 0.0369216 0 0.0100459
  237180.        1935.90        4229.68       0.241768E-004   1245.00        10.4685        5.74317      -0.530562E+007	0 0 0 0 0 0 0 0 0.294653 0 0 0 0 0 0 0.17482 0 0 0 0.047748 0 0.482779
  243590.        1935.90        4262.75       0.244049E-004   1246.69        10.5668        5.81307      -0.517305E+007	0 0 0 0 0 0 0 0 0.244202 0 0 0 0 0 0 0.175748 0 0 0 0.0522322 0 0.527817
  250000.        1935.90        4287.36       0.244649E-004   1247.38        10.6400        5.86226      -0.503767E+007	0 0 0 0 0 0 0 0 0.212102 0 0 0 0 0 0 0.176318 0 0 0 0.0554341 0 0.556146
  1.00000        1992.31        3100.92       0.541880E-004   1314.16        6.15531        2.95692      -0.113973E+008	0.0615666 0 0.593272 0.132315 0 0 0 0.212847 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        1992.31        3165.33       0.492914E-004   1300.06        7.16104        4.12995      -0.112059E+008	0 0 0.573582 0.306211 0 0 0 0.120207 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        1992.31        3190.17       0.459720E-004   1289.68        7.26785        4.16132      -0.110230E+008	0 0 0.574094 0.319731 0 0 0 0.106174 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        1992.31        3213.63       0.433398E-004   1281.34        7.36056        4.18969      -0.108406E+008	0 0 0.574449 0.324804 0 0 0 0.100746 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        1992.31        3236.13       0.411206E-004   1274.24        7.44372        4.21556      -0.106589E+008	0 0 0.574729 0.32342 0 0 0 0.101851 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        1992.31        3270.11       0.387259E-004   1268.15        7.60248        4.26498      -0.104846E+008	0 0 0.577133 0.324871 0 0 0 0.0497021 0.048294 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        1992.31        3303.49       0.368469E-004   1263.56        7.75346        4.31505      -0.103130E+008	0 0 0.579487 0.32 0 0 0 0 0.100513 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        1992.31        3328.16       0.353906E-004   1259.15        7.84082        4.34499      -0.101384E+008	0 0 0.580345 0.298494 0 0 0 0 0.121161 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        1992.31        3350.30       0.341032E-004   1255.18        7.91757        4.37141      -0.996265E+007	0 0 0.580848 0.284805 0 0 0 0 0.134348 0 0 0 0 0 0 0 0 0 0 0 0 0
  57693.1        1992.31        3370.81       0.329381E-004   1251.57        7.98745        4.39535      -0.978643E+007	0 0 0.581138 0.275773 0 0 0 0 0.143089 0 0 0 0 0 0 0 0 0 0 0 0 0
  64103.3        1992.31        3390.30       0.318698E-004   1248.26        8.05291        4.41766      -0.961011E+007	0 0 0.581323 0.269169 0 0 0 0 0.149508 0 0 0 0 0 0 0 0 0 0 0 0 0
  70513.5        1992.31        3409.21       0.308791E-004   1245.20        8.11558        4.43888      -0.943395E+007	0 0 0.581468 0.263448 0 0 0 0 0.155084 0 0 0 0 0 0 0 0 0 0 0 0 0
  76923.8        1992.31        3427.64       0.299563E-004   1242.36        8.17598        4.45917      -0.925815E+007	0 0 0.58158 0.258321 0 0 0 0 0.160099 0 0 0 0 0 0 0 0 0 0 0 0 0
  83334.0        1992.31        3445.85       0.290924E-004   1239.72        8.23490        4.47882      -0.908271E+007	0 0 0.581723 0.252694 0 0 0 0 0.165583 0 0 0 0 0 0 0 0 0 0 0 0 0
  89744.2        1992.31        3463.93       0.282780E-004   1237.26        8.29310        4.49828      -0.890776E+007	0 0 0.581884 0.246249 0 0 0 0 0.171867 0 0 0 0 0 0 0 0 0 0 0 0 0
  96154.5        1992.31        3482.03       0.275088E-004   1234.95        8.35065        4.51746      -0.873334E+007	0 0 0.582084 0.23859 0 0 0 0 0.179326 0 0 0 0 0 0 0 0 0 0 0 0 0
  102565.        1992.31        3500.26       0.267778E-004   1232.78        8.40799        4.53648      -0.855942E+007	0 0 0.582347 0.22919 0 0 0 0 0.188463 0 0 0 0 0 0 0 0 0 0 0 0 0
  108975.        1992.31        3518.73       0.260840E-004   1230.74        8.46545        4.55567      -0.838618E+007	0 0 0.582687 0.217594 0 0 0 0 0.199719 0 0 0 0 0 0 0 0 0 0 0 0 0
  115385.        1992.31        3537.67       0.254200E-004   1228.82        8.52374        4.57535      -0.821352E+007	0 0 0.583128 0.202874 0 0 0 0 0.213998 0 0 0 0 0 0 0 0 0 0 0 0 0
  121795.        1992.31        3556.56       0.247928E-004   1227.01        8.58130        4.59480      -0.804177E+007	0 0 0.583604 0.186989 0 0 0 0 0.229407 0 0 0 0 0 0 0 0 0 0 0 0 0
  128206.        1992.31        3576.68       0.241861E-004   1225.30        8.64260        4.61686      -0.787080E+007	0 0 0.584267 0.164685 0 0 0 0 0.251049 0 0 0 0 0 0 0 0 0 0 0 0 0
  134616.        1992.31        3596.24       0.236184E-004   1223.71        8.70223        4.63889      -0.770054E+007	0 0 0.584898 0.142985 0 0 0 0 0.272116 0 0 0 0 0 0 0 0 0 0 0 0 0
  141026.        1992.31        3615.66       0.230846E-004   1222.21        8.76149        4.66179      -0.753104E+007	0 0 0.585537 0.120374 0 0 0 0 0.294089 0 0 0 0 0 0 0 0 0 0 0 0 0
  147436.        1992.31        3741.50       0.241728E-004   1232.34        9.28898        5.00221      -0.740702E+007	0 0 0 0.107133 0 0 0 0 0.319011 0 0 0 0 0.573855 0 0 0 0 0 0 0 0
  153847.        1992.31        3759.62       0.237193E-004   1230.88        9.34724        5.02709      -0.724401E+007	0 0 0 0.0830442 0 0 0 0 0.342292 0 0 0 0 0.574664 0 0 0 0 0 0 0 0
  160257.        1992.31        3777.98       0.232896E-004   1229.49        9.40637        5.05391      -0.708171E+007	0 0 0 0.0566886 0 0 0 0 0.367796 0 0 0 0 0.575516 0 0 0 0 0 0 0 0
  166667.        1992.31        3796.28       0.228843E-004   1228.17        9.46457        5.08131      -0.692010E+007	0 0 0 0.029602 0 0 0 0 0.394007 0 0 0 0 0.576391 0 0 0 0 0 0 0 0
  173077.        1992.31        3814.64       0.225029E-004   1226.92        9.52174        5.10922      -0.675937E+007	0 0 0 0.00169324 0 0 0 0 0.421022 0 0 0 0 0.577285 0 0 0 0 0 0 0 0
  179487.        1992.31        3827.60       0.221426E-004   1225.68        9.55791        5.12091      -0.659776E+007	0 0 0 0 0 0 0 0 0.428207 0 0 0 0 0.569585 0 0.00220833 0 0 0 0 0 0
  185898.        1992.31        3842.68       0.217630E-004   1224.38        9.58610        5.12586      -0.643117E+007	0 0 0 0 0 0 0 0 0.456768 0 0 0 0 0.529628 0 0.0136036 0 0 0 0 0 0
  192308.        1992.31        3858.00       0.213945E-004   1223.13        9.61280        5.12997      -0.626448E+007	0 0 0 0 0 0 0 0 0.488416 0 0 0 0 0.485372 0 0.0262122 0 0 0 0 0 0
  198718.        1992.31        3909.36       0.196291E-004   1216.17        9.78618        5.24500      -0.613526E+007	0 0 0 0 0 0 0 0 0.497171 0 0 0 0.462579 0.0122846 0 0.027965 0 0 0 0 0 0
  205128.        1992.31        3921.64       0.193124E-004   1215.10        9.82303        5.25844      -0.597885E+007	0 0 0 0 0 0 0 0 0.496934 0 0 0 0.475241 0 0 0.0278244 0 0 0 0 0 0
  211539.        1992.31        3938.39       0.191603E-004   1215.17        9.88388        5.29093      -0.583034E+007	0 0 0 0 0 0 0 0 0.464896 0 0 0 0.50411 0 0 0.0197858 0 0 0 0.0112076 0 0
  217949.        1992.31        3953.99       0.189985E-004   1215.09        9.93845        5.31876      -0.568079E+007	0 0 0 0 0 0 0 0 0.439763 0 0 0 0.526113 0 0 0.0136741 0 0 0 0.0204497 0 0
  224359.        1992.31        3968.53       0.188289E-004   1214.89        9.98690        5.34198      -0.553007E+007	0 0 0 0 0 0 0 0 0.421394 0 0 0 0.541279 0 0 0.00948429 0 0 0 0.0278431 0 0
  230769.        1992.31        3982.14       0.186485E-004   1214.57        10.0313        5.36216      -0.537884E+007	0 0 0 0 0 0 0 0 0.407177 0 0 0 0.552879 0 0 0.00628393 0 0 0 0.0336599 0 0
  237180.        1992.31        4209.40       0.240339E-004   1246.80        10.4058        5.68919      -0.522693E+007	0 0 0 0 0 0 0 0 0.326449 0 0 0 0 0 0 0.174214 0 0 0 0.0450046 0 0.454332
  243590.        1992.31        4248.68       0.243982E-004   1249.40        10.5222        5.77416      -0.509752E+007	0 0 0 0 0 0 0 0 0.262199 0 0 0 0 0 0 0.17543 0 0 0 0.0507338 0 0.511637
  250000.        1992.31        4275.34       0.245001E-004   1250.38        10.6016        5.82833      -0.496308E+007	0 0 0 0 0 0 0 0 0.225464 0 0 0 0 0 0 0.176107 0 0 0 0.0538864 0 0.544542
  1.00000        2048.72        3101.18       0.571030E-004   1327.68        6.09814        2.92945      -0.113184E+008	0.0418899 0 0.586139 0.163489 0 0 0 0.208482 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        2048.72        3156.61       0.505579E-004   1308.51        7.12240        4.10572      -0.111314E+008	0 0 0.573587 0.318354 0 0 0 0.10806 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        2048.72        3181.91       0.469559E-004   1296.97        7.23532        4.13872      -0.109489E+008	0 0 0.574121 0.336214 0 0 0 0.0896646 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        2048.72        3205.65       0.442040E-004   1287.96        7.33019        4.16803      -0.107668E+008	0 0 0.574468 0.342563 0 0 0 0.0829693 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        2048.72        3228.38       0.419073E-004   1280.37        7.41472        4.19467      -0.105853E+008	0 0 0.574738 0.342218 0 0 0 0.083044 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        2048.72        3255.74       0.396791E-004   1273.73        7.52890        4.23040      -0.104076E+008	0 0 0.575926 0.340134 0 0 0 0.0627867 0.0211533 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        2048.72        3293.32       0.375245E-004   1268.58        7.70599        4.28813      -0.102384E+008	0 0 0.578977 0.332903 0 0 0 0 0.0881202 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        2048.72        3319.55       0.359751E-004   1263.81        7.79975        4.32020      -0.100651E+008	0 0 0.580064 0.306332 0 0 0 0 0.113604 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        2048.72        3342.57       0.346219E-004   1259.56        7.88029        4.34790      -0.989023E+007	0 0 0.58068 0.289985 0 0 0 0 0.129335 0 0 0 0 0 0 0 0 0 0 0 0 0
  57693.1        2048.72        3363.71       0.334063E-004   1255.71        7.95292        4.37283      -0.971462E+007	0 0 0.581051 0.279096 0 0 0 0 0.139853 0 0 0 0 0 0 0 0 0 0 0 0 0
  64103.3        2048.72        3383.68       0.322964E-004   1252.18        8.02048        4.39596      -0.953873E+007	0 0 0.581288 0.271202 0 0 0 0 0.14751 0 0 0 0 0 0 0 0 0 0 0 0 0
  70513.5        2048.72        3403.00       0.312706E-004   1248.93        8.08493        4.41788      -0.936304E+007	0 0 0.581468 0.264441 0 0 0 0 0.154091 0 0 0 0 0 0 0 0 0 0 0 0 0
  76923.8        2048.72        3421.76       0.303187E-004   1245.93        8.14672        4.43881      -0.918743E+007	0 0 0.581622 0.258434 0 0 0 0 0.159944 0 0 0 0 0 0 0 0 0 0 0 0 0
  83334.0        2048.72        3440.13       0.294285E-004   1243.14        8.20649        4.45883      -0.901217E+007	0 0 0.581758 0.252748 0 0 0 0 0.165493 0 0 0 0 0 0 0 0 0 0 0 0 0
  89744.2        2048.72        3458.44       0.285908E-004   1240.54        8.26561        4.47862      -0.883748E+007	0 0 0.581931 0.245916 0 0 0 0 0.172153 0 0 0 0 0 0 0 0 0 0 0 0 0
  96154.5        2048.72        3476.70       0.278014E-004   1238.10        8.32390        4.49813      -0.866320E+007	0 0 0.582142 0.238028 0 0 0 0 0.17983 0 0 0 0 0 0 0 0 0 0 0 0 0
  102565.        2048.72        3495.18       0.270509E-004   1235.82        8.38224        4.51766      -0.848939E+007	0 0 0.582428 0.228062 0 0 0 0 0.18951 0 0 0 0 0 0 0 0 0 0 0 0 0
  108975.        2048.72        3513.71       0.263408E-004   1233.67        8.44008        4.53697      -0.831628E+007	0 0 0.582756 0.216648 0 0 0 0 0.200596 0 0 0 0 0 0 0 0 0 0 0 0 0
  115385.        2048.72        3532.71       0.256631E-004   1231.66        8.49886        4.55689      -0.814383E+007	0 0 0.583197 0.201971 0 0 0 0 0.214832 0 0 0 0 0 0 0 0 0 0 0 0 0
  121795.        2048.72        3551.47       0.250243E-004   1229.77        8.55620        4.57627      -0.797210E+007	0 0 0.583635 0.187094 0 0 0 0 0.229271 0 0 0 0 0 0 0 0 0 0 0 0 0
  128206.        2048.72        3571.89       0.244025E-004   1227.97        8.61883        4.59903      -0.780124E+007	0 0 0.584335 0.163721 0 0 0 0 0.251944 0 0 0 0 0 0 0 0 0 0 0 0 0
  134616.        2048.72        3591.47       0.238246E-004   1226.30        8.67844        4.62095      -0.763106E+007	0 0 0.584962 0.142368 0 0 0 0 0.27267 0 0 0 0 0 0 0 0 0 0 0 0 0
  141026.        2048.72        3610.88       0.232802E-004   1224.74        8.73786        4.64384      -0.746164E+007	0 0 0.585589 0.120137 0 0 0 0 0.294273 0 0 0 0 0 0 0 0 0 0 0 0 0
  147436.        2048.72        3736.60       0.243836E-004   1235.36        9.26593        4.98485      -0.733716E+007	0 0 0 0.105868 0 0 0 0 0.32016 0 0 0 0 0.573972 0 0 0 0 0 0 0 0
  153847.        2048.72        3754.73       0.239212E-004   1233.82        9.32446        5.00982      -0.717431E+007	0 0 0 0.082034 0 0 0 0 0.343204 0 0 0 0 0.574762 0 0 0 0 0 0 0 0
  160257.        2048.72        3772.93       0.234842E-004   1232.37        9.38289        5.03596      -0.701209E+007	0 0 0 0.0567286 0 0 0 0 0.367677 0 0 0 0 0.575594 0 0 0 0 0 0 0 0
  166667.        2048.72        3791.37       0.230711E-004   1231.00        9.44147        5.06347      -0.685063E+007	0 0 0 0.0294661 0 0 0 0 0.394061 0 0 0 0 0.576473 0 0 0 0 0 0 0 0
  173077.        2048.72        3811.88       0.226569E-004   1229.60        9.49574        5.08837      -0.668625E+007	0 0 0 0 0 0 0 0 0.437865 0 0 0 0 0.556017 0 0.00611802 0 0 0 0 0 0
  179487.        2048.72        3827.17       0.222554E-004   1228.18        9.52479        5.09369      -0.651921E+007	0 0 0 0 0 0 0 0 0.466673 0 0 0 0 0.515709 0 0.0176172 0 0 0 0 0 0
  185898.        2048.72        3842.80       0.218645E-004   1226.80        9.55208        5.09795      -0.635184E+007	0 0 0 0 0 0 0 0 0.499543 0 0 0 0 0.469737 0 0.0307198 0 0 0 0 0 0
  192308.        2048.72        3858.99       0.214820E-004   1225.46        9.57734        5.10099      -0.618386E+007	0 0 0 0 0 0 0 0 0.538103 0 0 0 0 0.415835 0 0.046062 0 0 0 0 0 0
  198718.        2048.72        3875.82       0.211074E-004   1224.16        9.60040        5.10275      -0.601523E+007	0 0 0 0 0 0 0 0 0.582965 0 0 0 0 0.353151 0 0.0638831 0 0 0 0 0 0
  205128.        2048.72        3917.14       0.197135E-004   1218.57        9.73995        5.19412      -0.588194E+007	0 0 0 0 0 0 0 0 0.584695 0 0 0 0.352139 0 0 0.063166 0 0 0 0 0 0
  211539.        2048.72        3928.43       0.194358E-004   1217.64        9.77423        5.20597      -0.572557E+007	0 0 0 0 0 0 0 0 0.583293 0 0 0 0.354116 0 0 0.0625904 0 0 0 0 0 0
  217949.        2048.72        3944.65       0.192635E-004   1217.57        9.83551        5.23916      -0.557841E+007	0 0 0 0 0 0 0 0 0.549882 0 0 0 0.386462 0 0 0.0535156 0 0 0 0.0101403 0 0
  224359.        2048.72        3960.36       0.190965E-004   1217.48        9.89329        5.26977      -0.543090E+007	0 0 0 0 0 0 0 0 0.52029 0 0 0 0.414422 0 0 0.0456909 0 0 0 0.0195973 0 0
  230769.        2048.72        3974.80       0.189152E-004   1217.22        9.94445        5.29536      -0.528204E+007	0 0 0 0 0 0 0 0 0.497952 0 0 0 0.43542 0 0 0.0398181 0 0 0 0.0268105 0 0
  237180.        2048.72        4185.33       0.238007E-004   1247.88        10.3321        5.62615      -0.514606E+007	0 0 0 0 0 0 0 0 0.366999 0 0 0 0 0 0 0.173429 0 0 0 0.0416025 0 0.417969
  243590.        2048.72        4233.02       0.243524E-004   1251.77        10.4729        5.73118      -0.502096E+007	0 0 0 0 0 0 0 0 0.283859 0 0 0 0 0 0 0.175029 0 0 0 0.0488898 0 0.492222
  250000.        2048.72        4264.85       0.245696E-004   1253.50        10.5676        5.79818      -0.488923E+007	0 0 0 0 0 0 0 0 0.235532 0 0 0 0 0 0 0.175935 0 0 0 0.0534888 0 0.535044
  1.00000        2105.13        3097.66       0.601011E-004   1342.20        6.04289        2.90291      -0.112405E+008	0.0294413 0 0.581626 0.187732 0 0 0 0.201201 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        2105.13        3147.77       0.518748E-004   1317.41        7.08397        4.08123      -0.110566E+008	0 0 0.573605 0.331287 0 0 0 0.0951084 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        2105.13        3173.57       0.479528E-004   1304.52        7.20323        4.11585      -0.108745E+008	0 0 0.574161 0.353054 0 0 0 0.0727851 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        2105.13        3197.60       0.450631E-004   1294.77        7.30112        4.14630      -0.106927E+008	0 0 0.574504 0.36181 0 0 0 0.0636863 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        2105.13        3220.54       0.426931E-004   1286.69        7.38718        4.17386      -0.105114E+008	0 0 0.57476 0.362915 0 0 0 0.0623249 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        2105.13        3242.70       0.406400E-004   1279.64        7.46500        4.19898      -0.103310E+008	0 0 0.574969 0.35746 0 0 0 0.067571 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        2105.13        3282.44       0.382502E-004   1273.79        7.65530        4.26007      -0.101631E+008	0 0 0.578368 0.348182 0 0 0 0 0.0734499 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        2105.13        3310.43       0.365930E-004   1268.62        7.75641        4.29449      -0.999124E+007	0 0 0.579719 0.315803 0 0 0 0 0.104478 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        2105.13        3334.52       0.351646E-004   1264.05        7.84151        4.32374      -0.981726E+007	0 0 0.580482 0.296095 0 0 0 0 0.123423 0 0 0 0 0 0 0 0 0 0 0 0 0
  57693.1        2105.13        3356.42       0.338939E-004   1259.94        7.91747        4.34998      -0.964240E+007	0 0 0.580949 0.282902 0 0 0 0 0.136149 0 0 0 0 0 0 0 0 0 0 0 0 0
  64103.3        2105.13        3376.92       0.327374E-004   1256.18        7.98727        4.37390      -0.946701E+007	0 0 0.581233 0.273661 0 0 0 0 0.145106 0 0 0 0 0 0 0 0 0 0 0 0 0
  70513.5        2105.13        3396.53       0.316768E-004   1252.73        8.05309        4.39639      -0.929159E+007	0 0 0.581443 0.266279 0 0 0 0 0.152278 0 0 0 0 0 0 0 0 0 0 0 0 0
  76923.8        2105.13        3415.69       0.306920E-004   1249.55        8.11662        4.41800      -0.911643E+007	0 0 0.581636 0.259215 0 0 0 0 0.159149 0 0 0 0 0 0 0 0 0 0 0 0 0
  83334.0        2105.13        3434.32       0.297741E-004   1246.60        8.17762        4.43857      -0.894149E+007	0 0 0.581785 0.252996 0 0 0 0 0.165219 0 0 0 0 0 0 0 0 0 0 0 0 0
  89744.2        2105.13        3452.81       0.289123E-004   1243.85        8.23757        4.45872      -0.876692E+007	0 0 0.581969 0.245915 0 0 0 0 0.172116 0 0 0 0 0 0 0 0 0 0 0 0 0
