|6.6.6
pyrolite_1.tab
           2
P(bar)
   1.0000000000000000
   6410.2307692307695
          40
T(K)
   300.00000000000000
   56.410256410256409
          40
          30
P(bar)         T(K)           rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        	vol_Pl1 vol_Pl2 vol_O vol_Cpx1 vol_Cpx2 vol_ky vol_q vol_Opx vol_Gt1 vol_Gt2 vol_Sp vol_C2overc vol_Ring vol_Wad vol_st vol_Wus1 vol_Wus2 vol_Aki1 vol_Aki2 vol_capv vol_CF vol_Pv
  64103.3        412.821        3551.47       0.206589E-004   983.130        8.84762        5.00426      -0.114988E+008	0 0 0.580302 0.132815 0.0277006 0 0 0 0.151262 0 0 0.107921 0 0 0 0 0 0 0 0 0 0
  70513.5        412.821        3569.37       0.202045E-004   981.264        8.91159        5.02978      -0.113215E+008	0 0 0.568652 0.130249 0.0266405 0 0 0 0.151563 0 0 0.111403 0.0114923 0 0 0 0 0 0 0 0 0
  76923.8        412.821        3586.46       0.197771E-004   979.461        8.97141        5.05251      -0.111446E+008	0 0 0.558628 0.12685 0.0258627 0 0 0 0.151853 0 0 0.115373 0.0214328 0 0 0 0 0 0 0 0 0
  83334.0        412.821        3603.16       0.193738E-004   977.683        9.02945        5.07437      -0.109683E+008	0 0 0.549079 0.12252 0.0252183 0 0 0 0.152172 0 0 0.12009 0.0309201 0 0 0 0 0 0 0 0 0
  89744.2        412.821        3619.93       0.189923E-004   975.883        9.08802        5.09712      -0.107925E+008	0 0 0.538599 0.11681 0.0247397 0 0 0 0.152571 0 0 0.125965 0.0413149 0 0 0 0 0 0 0 0 0
  96154.5        412.821        3637.91       0.186269E-004   973.940        9.15145        5.12361      -0.106174E+008	0 0 0.523505 0.109232 0.0242586 0 0 0 0.153248 0 0 0.13355 0.0562074 0 0 0 0 0 0 0 0 0
  102565.        412.821        3666.74       0.182252E-004   970.904        9.25527        5.17648      -0.104429E+008	0 0 0.470396 0.0987068 0.024221 0 0 0 0.154385 0 0 0.144357 0.107935 0 0 0 0 0 0 0 0 0
  108975.        412.821        3801.48       0.181183E-004   958.189        9.83323        5.56926      -0.102810E+008	0 0 0 0.0280586 0 0 0 0 0.165239 0 0 0.240555 0.329895 0.236253 0 0 0 0 0 0 0 0
  115385.        412.821        3921.56       0.156411E-004   941.767        10.2589        5.82077      -0.101243E+008	0 0 0 0.0282935 0 0 0 0 0.0359474 0.133866 0 0 0.742272 0 0.0596208 0 0 0 0 0 0 0
  121795.        412.821        3933.01       0.154029E-004   940.419        10.2922        5.83176      -0.996228E+007	0 0 0 0.0268904 0 0 0 0 0.0332956 0.136691 0 0 0.743144 0 0.059979 0 0 0 0 0 0 0
  128206.        412.821        3944.08       0.151732E-004   939.125        10.3241        5.84187      -0.980064E+007	0 0 0 0.0261168 0 0 0 0 0.0284752 0.141671 0 0 0.743552 0 0.0601848 0 0 0 0 0 0 0
  134616.        412.821        3954.99       0.149506E-004   937.858        10.3554        5.85171      -0.963940E+007	0 0 0 0.0254775 0 0 0 0 0.0216739 0.148772 0 0 0.743755 0 0.0603223 0 0 0 0 0 0 0
  141026.        412.821        3965.88       0.147339E-004   936.595        10.3865        5.86193      -0.947847E+007	0 0 0 0.0246867 0 0 0 0 0.171052 0 0 0 0.743836 0 0.0604255 0 0 0 0 0 0 0
  147436.        412.821        3976.56       0.145243E-004   935.377        10.4167        5.87107      -0.931807E+007	0 0 0 0.0239889 0 0 0 0 0.17161 0 0 0 0.743898 0 0.0605031 0 0 0 0 0 0 0
  153847.        412.821        3987.22       0.143206E-004   934.168        10.4465        5.88018      -0.915804E+007	0 0 0 0.0230298 0 0 0 0 0.172455 0 0 0 0.743945 0 0.06057 0 0 0 0 0 0 0
  160257.        412.821        3997.92       0.141224E-004   932.963        10.4763        5.88945      -0.899839E+007	0 0 0 0.0216216 0 0 0 0 0.173742 0 0 0 0.744004 0 0.0606326 0 0 0 0 0 0 0
  166667.        412.821        4008.73       0.139296E-004   931.752        10.5061        5.89897      -0.883912E+007	0 0 0 0.0195663 0 0 0 0 0.175639 0 0 0 0.744098 0 0.0606965 0 0 0 0 0 0 0
  173077.        412.821        4019.70       0.137419E-004   930.529        10.5360        5.90895      -0.868022E+007	0 0 0 0.0166708 0 0 0 0 0.178347 0 0 0 0.744223 0 0.0607589 0 0 0 0 0 0 0
  179487.        412.821        4030.95       0.135594E-004   929.280        10.5662        5.91953      -0.852168E+007	0 0 0 0.0124793 0 0 0 0 0.182257 0 0 0 0.744435 0 0.0608287 0 0 0 0 0 0 0
  185898.        412.821        4047.25       0.133562E-004   926.353        10.6299        5.95609      -0.836558E+007	0 0 0 0.0109641 0 0 0 0 0.151604 0 0 0 0.760679 0 0.0663361 0 0 0.0104161 0 0 0 0
